Make,Model,Registration Year,Mileage,Body Type,Category,Colour,Cylinder Layout,Dekra,Drive,Engine Capacity,Features,Finance Price,Fuel Consumption,Fuel Tank Capacity,Fuel Type,Gears,Kilowatts,Maintenance plan,No of Doors,No of Seats,Spare Key,Transmission,Vehicle Service History,Warranty,Price
Audi,Q3,2021,10000,Sports Utility Vehicle (SUV),A,Green,I6,Platinum,FR,2490,[],18070,8.75,60,Petrol,7,294,2026/12/09,5,5,True,Automatic,"Complete, Up To Date",No,973900
BMW,X5,2019,68500,Sports Utility Vehicle (SUV),A,White,I6,Platinum,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",18779,6.8,80,Diesel,8,294,2024/10/02,5,5,False,Automatic,"Complete, Up To Date",No,1012900
Jaguar,F-Pace,2021,77850,Sports Utility Vehicle (SUV),A,Black,V8,Platinum,FR,4999,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",18070,11.9,66,Petrol,8,405,2025/12/30,5,5,True,Automatic,"Complete, Up To Date",2025/11/29,973900
Land Rover,Defender 110,2021,90000,Sports Utility Vehicle (SUV),A,White,I4,Green,FR,1997,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",16444,7.65,88,Diesel,8,177,2026/01/12,5,7,True,Automatic,"Complete, Up To Date",2026/01/12,995000
Toyota,Prado,2021,67642,Sports Utility Vehicle (SUV),A,Silver,I4,Green,FR,2755,['Reverse camera'],18034,7.9,150,Diesel,6,150,No,5,7,False,Automatic,"Complete, Up To Date",2024/05/11,971900
Audi,Q8,2023,4000,Sports Utility Vehicle (SUV),A,Grey,V6,Platinum,FR,2995,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",25963,9.1,85,Petrol,8,250,2028/07/24,5,5,True,Automatic,"Complete, Up To Date",2024/07/24,1407900
Porsche,Macan,2020,24000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1984,"['CarPlay or Android Auto', 'Auto stop-start']",18397,8.9,65,Petrol,7,185,2025/01/07,5,5,True,Automatic,"Complete, Up To Date",No,991900
Land Rover,Range Rover,2021,32000,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,2995,[],25508,9.63,104,Petrol,8,268,2024/06/10,5,5,True,Automatic,"Complete, Up To Date",2024/06/10,1382900
Land Rover,Range Rover,2020,92000,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,2995,"['Reverse camera', 'Auto stop-start']",17997,10.5,104,Petrol,8,250,2025/07/23,5,5,True,Automatic,"Complete, Up To Date",No,969900
Audi,R8,2012,55000,Coupe,A,Blue,V10,Green,FR,5204,[],18361,13.7,90,Petrol,7,386,No,2,2,False,Automatic,Partial but Up to Date,No,989900
Toyota,Land Cruiser,2022,17000,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,3346,[],25417,8.9,110,Diesel,10,225,2025/01/01,5,7,True,Automatic,"Complete, Up To Date",No,1377900
Land Rover,Range Rover,2019,69753,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1997,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",17997,2.8,104,Hybrid,8,297,2024/10/01,5,5,False,Automatic,"Complete, Up To Date",No,969900
Volkswagen,Touareg,2022,24000,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,2967,[],18325,7.1,90,Diesel,8,190,2025/06/30,5,5,True,Automatic,"Complete, Up To Date",2024/06/30,987900
Toyota,Land Cruiser,2022,33000,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,3346,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",24872,8.9,110,Diesel,10,225,No,5,7,True,Automatic,"Complete, Up To Date",2025/11/27,1347900
Toyota,Land Cruiser,2017,88994,Sports Utility Vehicle (SUV),A,White,V8,Platinum,FR,4461,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",17888,10.3,138,Diesel,6,173,No,5,7,True,Automatic,"Complete, Up To Date",No,963900
Land Rover,Range Rover,2019,51000,Sports Utility Vehicle (SUV),A,Grey,V8,Platinum,FR,4999,"['CarPlay or Android Auto', 'Reverse camera']",24599,13.8,105,Petrol,8,375,No,5,4,True,Automatic,"Complete, Up To Date",No,1332900
Volvo,Xc90,2021,49000,Sports Utility Vehicle (SUV),A,Black,I4,Platinum,FR,1969,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",17888,2.1,50,Hybrid,8,300,2025/12/31,5,7,True,Automatic,"Complete, Up To Date",2025/12/31,963900
Jaguar,F-Pace,2019,41000,Sports Utility Vehicle (SUV),A,White,V8,Platinum,FR,4999,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",16542,11.9,66,Petrol,8,405,No,5,5,False,Automatic,"Complete, Up To Date",2024/08/25,889900
Land Rover,Range Rover,2020,63018,Sports Utility Vehicle (SUV),A,White,V8,Platinum,FR,5000,['Reverse camera'],24035,12.8,104,Petrol,8,386,2025/05/17,5,5,True,Automatic,"Complete, Up To Date",2025/05/17,1301900
Land Rover,Range Rover Sport,2018,72000,Sports Utility Vehicle (SUV),A,Grey,V6,Platinum,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",16542,7.0,86,Diesel,8,225,No,5,5,True,Automatic,Partial but Up to Date,No,889900
BMW,8 Series,2020,26502,Sedan,A,Blue,V8,Green,FR,4395,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",22489,10.7,68,Petrol,8,390,2024/12/31,4,5,True,Automatic,"Complete, Up To Date",No,1297000
Land Rover,Range Rover,2019,76250,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,2995,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",17779,10.5,104,Petrol,8,250,2024/04/29,5,5,True,Automatic,"Complete, Up To Date",No,957900
Toyota,Land Cruiser,2017,99000,Sports Utility Vehicle (SUV),A,White,V8,Platinum,FR,4461,['Reverse camera'],17706,10.3,138,Diesel,6,173,No,5,7,True,Automatic,"Complete, Up To Date",No,953900
